1live_link,playlist_name,yt_music_link
https://www1.wdr.de/radio/1live/musik/1live-moving/index.html,1LIVE Moving - 04.02.2023,https://music.youtube.com/playlist?list=PLRqjmYutdyyahU2zWLQv1fs761Q_X7uXV
https://www1.wdr.de/radio/1live/musik/rock-session/rock-session-folge-22-100.html,1LIVE Rock Session - 27.07.2022,https://music.youtube.com/playlist?list=PLRqjmYutdyyYjIv_1YifOiX-W9Q757DLk
https://www1.wdr.de/radio/1live/musik/1live-dj-session/ben-boehmer-110.html,1LIVE DJ Session - 02.04.2022,https://music.youtube.com/playlist?list=PLRqjmYutdyyb3rSXdWWmhIeP2VHV67199
https://www1.wdr.de/radio/1live/musik/1live-dj-session/best-of-teil-3-102.html,1LIVE DJ Session - 17.12.2022,https://music.youtube.com/playlist?list=PLRqjmYutdyyYMlut9QdQxAUixER6iTr7W
https://www1.wdr.de/radio/1live/musik/1live-dj-session/younotus-124.html,1LIVE DJ Session - 27.08.2022,https://music.youtube.com/playlist?list=PLRqjmYutdyybhVK0T2LQMu4A2V-Gaeat2
https://www1.wdr.de/radio/1live/musik/rock-session/rock-session-folge-23-100.html,1LIVE Rock Session - 03.08.2022,https://music.youtube.com/playlist?list=PLRqjmYutdyybD_hQnW2FuPnvjO74H88tT
https://www1.wdr.de/radio/1live/musik/1live-plan-b/plan-b-donnerstagssendung-100.html,1LIVE Plan B - 02.02.2023,https://music.youtube.com/playlist?list=PLRqjmYutdyyZpo_f2XMFq5teASpbkdDQI
https://www1.wdr.de/radio/1live/musik/1live-dj-session/hardwell-130.html,1LIVE DJ Session - 26.11.2022,https://music.youtube.com/playlist?list=PLRqjmYutdyyY06kN0I1G2CF9XjOvOTy1G
https://www1.wdr.de/radio/1live/musik/1live-dj-session/oliver-heldens-160.html,1LIVE DJ Session - 30.07.2022,https://music.youtube.com/playlist?list=PLRqjmYutdyyZf0oZYrvIUfm1JnexYJBxz
https://www1.wdr.de/radio/1live/musik/1live-dj-session/matt-sassari-102.html,1LIVE DJ Session - 04.02.2023,https://music.youtube.com/playlist?list=PLRqjmYutdyyZbpYYtf_en37HAQtE3OM1m
https://www1.wdr.de/radio/1live/musik/1live-dj-session/kream-100.html,1LIVE DJ Session - 04.06.2022,https://music.youtube.com/playlist?list=PLRqjmYutdyybvEzMXhbS7BM1QtAfRQp7t
https://www1.wdr.de/radio/1live/musik/1live-dj-session/sg-lewis-108.html,1LIVE DJ Session - 09.07.2022,https://music.youtube.com/playlist?list=PLRqjmYutdyyaxdUKNz1ldF6qEMjy7X4IB
https://www1.wdr.de/radio/1live/musik/1live-dj-session/sofi-tukker-168.html,1LIVE DJ Session - 25.06.2022,https://music.youtube.com/playlist?list=PLRqjmYutdyyZ_6YcRLCUXyKry3yiSzsER
https://www1.wdr.de/radio/1live/musik/1live-go/index.html,1LIVE Go - 10.02.2023,https://music.youtube.com/playlist?list=PLRqjmYutdyyZDi_VAncxkMIggLnZW6QCj
https://www1.wdr.de/radio/1live/musik/1live-fiehe/fiehe-928.html,1LIVE Fiehe - 12.02.2023,https://music.youtube.com/playlist?list=PLRqjmYutdyybZuecfA53paRQdixxs58n9
https://www1.wdr.de/radio/1live/musik/1live-dj-session/steve-aoki-190.html,1LIVE DJ Session - 06.08.2022,https://music.youtube.com/playlist?list=PLRqjmYutdyyaIQ52qY6r8hXZs7Qq8AhPc
https://www1.wdr.de/radio/1live/musik/1live-fiehe/fiehe-924.html,1LIVE Fiehe - 12.02.2023,https://music.youtube.com/playlist?list=PLRqjmYutdyyb1YvFIQfX5-Hrini6PPEPN
https://www1.wdr.de/radio/1live/musik/1live-fiehe/index.html,1LIVE Fiehe - 12.02.2023,https://music.youtube.com/playlist?list=PLRqjmYutdyyYKGqc8jrGt46aMxRtAWcZb
https://www1.wdr.de/radio/1live/musik/1live-fiehe/fiehe-926.html,1LIVE Fiehe - 12.02.2023,https://music.youtube.com/playlist?list=PLRqjmYutdyybQ1njzKZcWu72RLp5kjBKt
https://www1.wdr.de/radio/1live/musik/1live-dj-session/lost-frequencies-218.html,1LIVE DJ Session - 11.02.2023,https://music.youtube.com/playlist?list=PLRqjmYutdyyb9BGkenovi3TKDsTp-0RJP
